9.234283	7.946639
2.593864	4.731110
3.101840	0.608913
1.989701	6.896548
7.155819	9.767342
3.549313	4.473205
6.363416	5.104689
6.356478	7.891970
1.607409	7.005319
0.984430	0.316022
7.881106	3.244200
4.431062	9.273039
4.082329	4.738173
1.949643	7.415296
0.394632	3.693853
4.229941	3.230268
8.754109	9.364624
5.288014	9.350635
6.992512	5.361586
0.226795	7.576267
8.449424	9.163202
8.417833	1.153948
0.747700	9.936625
3.872992	3.782805
3.679671	0.508469
4.432350	5.931642
4.471540	8.480008
0.261938	9.263188
5.857322	9.934568
1.965983	3.341705
9.241434	6.484209
2.869047	1.623961
